Funimation, 1
Bandai Entertainment, 1
Funimation, 6
Geneon Entertainment USA, 6
Viz Media, 16
Funimation, 18
Viz Media, 20
Viz Media, 22
Funimation, 24
Funimation, 26
Geneon Entertainment USA, 26
Nozomi Entertainment, 28
ADV Films, 30
Manga Entertainment, 32
ADV Films, 44
Aniplex of America, 44
ADV Films, 46
Aniplex of America, 46
Funimation, 48
Bandai Entertainment, 48
Media Blasters, 50
NYAV Post, 50
ADV Films, 52
Sentai Filmworks, 52
Sentai Filmworks, 54
Geneon Entertainment USA, 54
Bandai Entertainment, 56
Funimation, 58
