1, x, 0, 1, 26, 1998, 8, 9, 8.81, 27, 366283, 38, 710294, 39268, 8, "2, 3, 4, 5, 6, 7", 56197, 430993, 40173, 14768, 168163, 710294,
6, x, 0, 10, 26, 1998, 8, 12, 8.31, 235, 198255, 138, 374724, 9809, 4, "2, 6, 3, 4, 5, 11", 17179, 244845, 17249, 9027, 86424, 374724,
8, x, 0, 10, 52, 2004, 16, 17, 7.04, 3404, 4765, 3500, 11293, 13, 4, "13, 14, 11, 15", 519, 6435, 698, 981, 2660, 11293,
16, x, 0, 10, 24, 2005, 16, 12, 8.13, 397, 54509, 501, 160860, 3623, 6, "18, 5, 19, 20, 21", 8702, 65478, 9666, 8409, 68605, 160860,
18, x, 0, 10, 24, 2004, 25, 12, 8.24, 276, 37879, 1259, 64869, 585, 10, "2, 22, 23, 5, 24", 3088, 51465, 1609, 718, 7989, 64869,
20, x, 0, 10, 220, 2002, 16, 12, 7.88, 744, 650054, 10, 983220, 34566, 12, "2, 3, 4, 26, 27, 11", 66925, 776623, 36579, 72270, 30823, 983220,
22, x, 0, 10, 178, 2001, 29, 12, 8.01, 550, 48212, 809, 107643, 2835, 17, "2, 4, 23, 28, 11", 8433, 59251, 10501, 9997, 19461, 107643,
24, x, 0, 10, 26, 2004, 16, 12, 8.02, 537, 101724, 349, 214991, 4525, 6, "18, 20, 28, 11", 8957, 127783, 10724, 10658, 56869, 214991,
26, x, 0, 1, 22, 2003, 16, 31, 7.78, 932, 29797, 660, 127016, 2606, 0, "2, 6, 30, 5", 7907, 34499, 7559, 5909, 71142, 127016,
28, x, 0, 10, 69, 2004, 8, 12, 8.02, 540, 26566, 1303, 62447, 750, 2, "18, 11", 3853, 32040, 4868, 3668, 18018, 62447,
30, x, 0, 1, 26, 1995, 8, 12, 8.32, 223, 364775, 48, 643126, 41209, 16, "2, 6, 32, 30, 5, 33", 31107, 450057, 20225, 11766, 129971, 643126,
32, x, 34, 1, 1, 1997, 36, 31, 8.48, 114, 194329, 216, 297141, 8211, 2, "35, 32, 30, 5, 33", 2953, 254096, 1255, 648, 38189, 297141,
44, x, 37, 10, 4, 1999, 40, 9, 8.79, 31, 89255, 482, 167607, 4692, 4, "2, 38, 5, 20, 27, 39, 11", 3945, 114674, 2200, 1093, 45695, 167607,
46, x, 34, 10, 1, 1997, 42, 9, 7.63, 1280, 20949, 1858, 37347, 93, 2, "41, 38, 5, 11", 358, 29629, 348, 157, 6855, 37347,
48, x, 0, 1, 26, 2002, 8, 12, 7.09, 3221, 61534, 652, 129556, 1192, 12, "43, 6, 3, 44, 45, 14", 5159, 77954, 7151, 9497, 29795, 129556,
50, x, 0, 10, 24, 2005, 8, 12, 7.42, 1917, 57329, 771, 112261, 1012, 10, "18, 15, 45, 20, 24", 4442, 73467, 5654, 6692, 22006, 112261,
52, x, 0, 10, 26, 2001, 8, 12, 7.31, 2390, 22176, 1664, 44267, 250, 2, "35, 4, 23, 5, 11", 1376, 29166, 2420, 2539, 8766, 44267,
54, x, 34, 10, 1, 2004, 48, 9, 7.19, 2833, 33853, 1428, 55784, 153, 5, "2, 46, 6, 47, 5, 33, 11", 516, 45876, 323, 373, 8696, 55784,
56, x, 0, 1, 13, 2003, 8, 9, 5.97, 7403, 5308, 3228, 13771, 18, 0, "13, 14, 6, 11", 500, 6994, 663, 1110, 4504, 13771,
